State ,"Numbr of Liver Transplants by State, 2022",Number of Transplant Centers,Numbe rof Tattoo Parlors,Percentage of Adults 18 or Older With Diagnosed Diabetes,"Obesity, %, 2020","Adults with hypertension in the United States in 2021, %",West,South,Midwest,Northeast
Alabama,85,2,331,14.7,38.7,43.1,0,1,0,0
Alaska,0,0,77,10.7,32,30.3,1,0,0,0
Arizona,341,5,683,11.6,30.1,31.2,1,0,0,0
Arkansas,51,1,206,14.4,35.7,40.7,0,1,0,0
California,1084,14,3000,11.7,29,28.2,1,0,0,0
Colorado,176,4,769,8.6,23.9,26.3,1,0,0,0
Connecticut,64,2,334,10.4,28.5,31.5,0,0,0,1
Delaware,8,0,129,12.1,35.8,36.4,0,1,0,0
District of Columbia,102,2,56,11.2,24,28.5,0,1,0,0
Florida,682,8,2981,12.5,27.9,,0,1,0,0
Georgia,266,3,883,13.7,33.4,37.4,0,1,0,0
Hawaii,18,1,229,12.3,24.6,29.9,1,0,0,0
Idaho,0,0,206,11.2,31.1,30.5,1,0,0,0
Illinois,372,6,893,11,30.4,30.4,0,0,1,0
Indiana,160,1,595,13.2,37.3,34.8,0,0,1,0
Iowa,2,1,346,10.8,36.8,31.9,0,0,1,0
Kansas,54,1,158,12.4,35,34.6,0,0,1,0
Kentucky,81,2,464,14.1,37.2,40.3,0,1,0,0
Louisiana,158,4,358,14.9,37,40.2,0,1,0,0
Maine,0,0,146,10.7,29.9,34.1,0,0,0,1
Maryland,235,2,630,12.8,31.4,35.2,0,1,0,0
Massachusetts,307,5,471,9.7,24.2,30.8,0,0,0,1
Michigan,229,4,866,12.2,35.6,35.6,0,0,1,0
Minnesota,243,2,445,9.9,31.4,29.6,0,0,1,0
Mississippi,50,1,161,14.9,39.8,44.1,0,1,0,0
Missouri,239,6,730,12.2,34.1,35.2,0,0,1,0
Montana,0,0,141,10.1,28.5,30.9,1,0,0,0
Nebraska,110,1,162,10.8,34.7,32.5,0,0,1,0
Nevada,0,0,717,11.6,29.2,32.9,1,0,0,0
New Hampshire,0,0,209,10.7,29.9,31.1,0,0,0,1
New Jersey,56,2,807,11.4,27.4,31.8,0,0,0,1
New Mexico,0,0,256,13.2,29.4,33.2,1,0,0,0
New York,750,8,1502,11.8,29.4,31.1,0,0,0,1
North Carolina,228,3,997,13,33.2,35.4,0,1,0,0
North Dakota,0,0,92,10.7,32.6,35.4,0,0,1,0
Ohio,540,6,1270,12.7,36,36,0,0,1,0
Oklahoma,143,2,399,13.4,36.9,39.6,0,1,0,0
Oregon,74,2,477,12,28.3,31.1,1,0,0,0
Pennsylvania,549,13,1421,11.9,31.2,34.1,0,0,0,1
Rhode Island,0,0,108,11.4,30.3,33.4,0,0,0,1
South Carolina,75,1,406,13.6,35.3,37.9,0,1,0,0
South Dakota,0,0,103,10.2,33.3,34.2,0,0,1,0
Tennessee,250,3,636,14.2,35.3,38.1,0,1,0,0
Texas,845,15,2292,14,34.4,33.3,0,1,0,0
Utah,181,3,261,10.7,29.3,26.9,1,0,0,0
Vermont,0,0,66,9.6,26.8,29.5,0,0,0,1
Virginia,253,2,557,11.5,31.9,34.5,0,1,0,0
Washington,176,3,811,11,28.5,30.2,1,0,0,0
West Virginia,0,0,280,15.4,39.3,43.7,0,1,0,0
Wisconsin,147,4,517,9.4,31.9,31.6,0,0,1,0
Wyoming,0,0,71,9.9,31,29.8,1,0,0,0
,,,,,,,,,,
,184,,602.0588235,11.92352941,31.9372549,33.78,,,,
,238.9734713,,651.8031424,1.618837637,4.040196074,4.225771274,,,,
,0,,56,8.6,23.9,26.3,,,,
,1084,,3000,15.4,39.8,44.1,,,,