,Pre-seed/Seed,Early VC,Later VC,Venture growth,Smoothed pre-seed/seed company count,Smoothed early-stage VC company count,Smoothed late-stage VC company count,Smoothed venture-growth company count
1/31/10,0.37,0.09,0.11,0.17,1676,5207,3392,437
2/28/10,0.38,0.09,0.11,0.17,1730,5245,3416,443
3/31/10,0.40,0.09,0.10,0.17,1785,5284,3439,449
4/30/10,0.41,0.09,0.10,0.16,1841,5326,3461,454
5/31/10,0.41,0.09,0.10,0.16,1897,5366,3483,459
6/30/10,0.42,0.09,0.09,0.16,1953,5408,3506,464
7/31/10,0.43,0.09,0.09,0.16,2011,5447,3529,470
8/31/10,0.43,0.09,0.09,0.16,2069,5487,3551,476
9/30/10,0.43,0.09,0.09,0.16,2128,5527,3574,481
10/31/10,0.43,0.09,0.08,0.16,2188,5570,3598,487
11/30/10,0.43,0.09,0.08,0.16,2250,5614,3623,491
12/31/10,0.43,0.10,0.08,0.15,2312,5660,3648,495
1/31/11,0.42,0.10,0.08,0.14,2384,5709,3676,499
2/28/11,0.42,0.10,0.08,0.14,2455,5761,3704,503
3/31/11,0.42,0.10,0.09,0.13,2528,5815,3736,507
4/30/11,0.41,0.10,0.09,0.12,2602,5872,3768,510
5/31/11,0.41,0.10,0.09,0.12,2680,5930,3800,514
6/30/11,0.41,0.11,0.09,0.12,2761,5989,3833,519
7/31/11,0.41,0.11,0.10,0.11,2844,6050,3868,523
8/31/11,0.42,0.11,0.10,0.11,2930,6112,3904,527
9/30/11,0.42,0.12,0.10,0.10,3018,6180,3942,531
10/31/11,0.42,0.12,0.11,0.10,3110,6247,3980,534
11/30/11,0.42,0.12,0.11,0.10,3207,6317,4017,538
12/31/11,0.43,0.13,0.11,0.10,3305,6388,4056,543
1/31/12,0.43,0.13,0.11,0.10,3411,6465,4096,548
2/29/12,0.43,0.14,0.12,0.10,3517,6541,4137,552
3/31/12,0.43,0.14,0.12,0.10,3628,6615,4176,556
4/30/12,0.44,0.14,0.12,0.10,3745,6693,4213,560
5/31/12,0.44,0.14,0.12,0.10,3865,6775,4251,565
6/30/12,0.44,0.14,0.12,0.10,3987,6858,4290,570
7/31/12,0.45,0.15,0.12,0.10,4111,6945,4328,574
8/31/12,0.45,0.15,0.12,0.10,4239,7033,4365,579
9/30/12,0.45,0.15,0.12,0.10,4369,7118,4402,584
10/31/12,0.45,0.15,0.12,0.10,4501,7207,4439,589
11/30/12,0.45,0.15,0.11,0.10,4635,7296,4476,594
12/31/12,0.44,0.16,0.11,0.10,4770,7386,4513,599
1/31/13,0.44,0.16,0.11,0.10,4909,7472,4551,605
2/28/13,0.44,0.16,0.11,0.11,5054,7557,4588,610
3/31/13,0.44,0.16,0.11,0.11,5202,7646,4626,615
4/30/13,0.43,0.16,0.11,0.11,5353,7733,4668,621
5/31/13,0.43,0.15,0.11,0.11,5508,7818,4712,627
6/30/13,0.42,0.15,0.11,0.11,5666,7907,4756,634
7/31/13,0.42,0.15,0.11,0.12,5824,7998,4800,641
8/31/13,0.41,0.15,0.11,0.12,5985,8093,4846,648
9/30/13,0.41,0.15,0.11,0.12,6149,8194,4892,654
10/31/13,0.40,0.15,0.11,0.12,6313,8305,4941,661
11/30/13,0.40,0.15,0.12,0.12,6475,8419,4993,669
12/31/13,0.39,0.16,0.12,0.13,6642,8534,5046,676
1/31/14,0.39,0.16,0.12,0.13,6811,8654,5102,684
2/28/14,0.38,0.16,0.12,0.14,6974,8777,5160,692
3/31/14,0.37,0.16,0.13,0.14,7136,8903,5218,700
4/30/14,0.37,0.17,0.13,0.14,7293,9035,5276,707
5/31/14,0.36,0.17,0.13,0.14,7445,9167,5335,715
6/30/14,0.35,0.18,0.13,0.14,7599,9300,5394,722
7/31/14,0.34,0.18,0.14,0.14,7754,9429,5452,729
8/31/14,0.33,0.18,0.14,0.14,7912,9557,5511,736
9/30/14,0.32,0.18,0.14,0.14,8073,9678,5570,744
10/31/14,0.31,0.18,0.14,0.13,8234,9791,5629,750
11/30/14,0.30,0.18,0.14,0.13,8398,9899,5686,756
12/31/14,0.29,0.17,0.14,0.13,8562,10006,5742,763
1/31/15,0.28,0.17,0.14,0.12,8720,10117,5800,770
2/28/15,0.27,0.17,0.14,0.12,8873,10217,5858,777
3/31/15,0.27,0.16,0.13,0.12,9027,10317,5918,785
4/30/15,0.26,0.15,0.13,0.12,9184,10412,5979,792
5/31/15,0.26,0.15,0.13,0.12,9337,10510,6040,800
6/30/15,0.25,0.14,0.13,0.12,9489,10607,6106,808
7/31/15,0.24,0.14,0.13,0.12,9640,10705,6173,815
8/31/15,0.24,0.13,0.13,0.12,9788,10802,6240,824
9/30/15,0.23,0.13,0.13,0.12,9929,10902,6306,832
10/31/15,0.22,0.12,0.13,0.12,10071,11002,6372,840
11/30/15,0.22,0.12,0.13,0.12,10207,11099,6440,848
12/31/15,0.21,0.12,0.13,0.12,10343,11196,6510,857
1/31/16,0.20,0.12,0.13,0.12,10478,11290,6580,865
2/29/16,0.20,0.12,0.14,0.12,10621,11391,6649,873
3/31/16,0.19,0.11,0.13,0.12,10760,11485,6717,881
4/30/16,0.19,0.11,0.13,0.12,10896,11578,6784,890
5/31/16,0.18,0.11,0.13,0.12,11028,11662,6854,897
6/30/16,0.18,0.11,0.13,0.12,11154,11745,6924,905
7/31/16,0.17,0.10,0.13,0.12,11275,11823,6994,913
8/31/16,0.16,0.10,0.13,0.12,11389,11900,7066,920
9/30/16,0.16,0.10,0.13,0.11,11502,11972,7139,926
10/31/16,0.15,0.09,0.13,0.11,11613,12041,7211,932
11/30/16,0.15,0.09,0.13,0.11,11722,12111,7282,939
12/31/16,0.14,0.09,0.13,0.10,11819,12176,7348,946
1/31/17,0.14,0.08,0.13,0.10,11919,12242,7411,953
2/28/17,0.13,0.08,0.12,0.10,12017,12303,7475,960
3/31/17,0.13,0.08,0.12,0.10,12114,12365,7539,965
4/30/17,0.12,0.07,0.12,0.09,12210,12423,7605,971
5/31/17,0.12,0.07,0.12,0.09,12309,12487,7668,976
6/30/17,0.11,0.07,0.12,0.08,12410,12549,7731,981
7/31/17,0.11,0.07,0.11,0.08,12509,12610,7793,987
8/31/17,0.11,0.06,0.11,0.08,12611,12668,7855,994
9/30/17,0.11,0.06,0.11,0.08,12710,12728,7918,1001
10/31/17,0.10,0.06,0.11,0.08,12805,12794,7981,1008
11/30/17,0.10,0.06,0.10,0.08,12896,12855,8045,1014
12/31/17,0.10,0.06,0.10,0.08,12992,12917,8112,1020
1/31/18,0.10,0.06,0.10,0.08,13086,12980,8184,1025
2/28/18,0.10,0.06,0.10,0.07,13172,13037,8257,1031
3/31/18,0.09,0.06,0.10,0.08,13253,13092,8328,1039
4/30/18,0.09,0.06,0.10,0.08,13330,13149,8399,1046
5/31/18,0.09,0.06,0.10,0.08,13401,13203,8470,1054
6/30/18,0.09,0.06,0.10,0.08,13468,13253,8540,1063
7/31/18,0.08,0.06,0.10,0.09,13532,13304,8610,1072
8/31/18,0.08,0.05,0.10,0.09,13592,13359,8678,1081
9/30/18,0.07,0.05,0.10,0.09,13648,13411,8745,1091
10/31/18,0.07,0.05,0.10,0.09,13703,13453,8814,1101
11/30/18,0.07,0.05,0.10,0.10,13758,13497,8882,1113
12/31/18,0.06,0.05,0.10,0.10,13813,13545,8951,1124
1/31/19,0.06,0.05,0.10,0.11,13862,13586,9021,1137
2/28/19,0.06,0.05,0.10,0.11,13913,13631,9092,1148
3/31/19,0.05,0.04,0.10,0.12,13968,13673,9165,1160
4/30/19,0.05,0.04,0.10,0.12,14023,13712,9238,1172
5/31/19,0.05,0.04,0.10,0.12,14086,13748,9311,1185
6/30/19,0.05,0.04,0.10,0.13,14142,13786,9387,1197
7/31/19,0.05,0.04,0.10,0.13,14205,13818,9463,1210
8/31/19,0.05,0.04,0.10,0.13,14266,13843,9543,1223
9/30/19,0.05,0.03,0.10,0.13,14331,13865,9623,1236
10/31/19,0.05,0.03,0.10,0.13,14399,13891,9702,1249
11/30/19,0.05,0.03,0.10,0.13,14466,13917,9781,1263
12/31/19,0.05,0.03,0.10,0.14,14536,13941,9860,1277
1/31/20,0.05,0.03,0.10,0.14,14613,13972,9935,1292
2/29/20,0.06,0.03,0.10,0.14,14693,14005,10012,1308
3/31/20,0.06,0.03,0.10,0.14,14773,14039,10093,1324
4/30/20,0.06,0.03,0.10,0.14,14860,14077,10190,1341
5/31/20,0.06,0.03,0.11,0.15,14945,14116,10291,1359
6/30/20,0.06,0.03,0.11,0.15,15044,14153,10392,1377
7/31/20,0.07,0.03,0.11,0.15,15142,14196,10495,1394
8/31/20,0.07,0.03,0.11,0.15,15249,14242,10598,1412
9/30/20,0.07,0.03,0.11,0.16,15355,14291,10705,1429
10/31/20,0.07,0.03,0.11,0.16,15464,14346,10813,1448
11/30/20,0.08,0.03,0.12,0.16,15576,14401,10922,1466
12/31/20,0.08,0.04,0.12,0.16,15688,14457,11034,1483
1/31/21,0.08,0.04,0.12,0.16,15800,14514,11148,1500
2/28/21,0.08,0.04,0.13,0.16,15911,14575,11267,1517
3/31/21,0.08,0.04,0.13,0.16,16021,14644,11390,1532
4/30/21,0.09,0.05,0.13,0.16,16129,14713,11504,1549
5/31/21,0.09,0.05,0.13,0.15,16238,14786,11614,1565
6/30/21,0.09,0.05,0.13,0.15,16346,14866,11724,1583
7/31/21,0.09,0.05,0.13,0.15,16453,14948,11832,1601
8/31/21,0.09,0.06,0.13,0.15,16559,15035,11942,1618
9/30/21,0.09,0.06,0.13,0.15,16665,15129,12055,1637
10/31/21,0.08,0.06,0.13,0.14,16776,15223,12170,1656
11/30/21,0.08,0.06,0.13,0.14,16889,15324,12289,1675
12/31/21,0.08,0.07,0.13,0.14,17008,15432,12412,1695
1/31/22,0.08,0.07,0.12,0.14,17111,15545,12535,1717
2/28/22,0.08,0.07,0.12,0.15,17215,15660,12658,1740
3/31/22,0.08,0.08,0.12,0.15,17327,15779,12785,1763
4/30/22,0.08,0.08,0.12,0.15,17441,15907,12909,1785
5/31/22,0.08,0.08,0.12,0.15,17553,16040,13038,1807
6/30/22,0.08,0.09,0.12,0.15,17663,16170,13171,1828
7/31/22,0.08,0.09,0.12,0.16,17772,16299,13304,1849
8/31/22,0.08,0.09,0.13,0.16,17877,16432,13437,1871
9/30/22,0.08,0.09,0.13,0.16,17982,16565,13568,1892
10/31/22,0.08,0.10,0.13,0.16,18080,16697,13699,1914
11/30/22,0.08,0.10,0.13,0.16,18172,16828,13830,1936
12/31/22,0.07,0.10,0.12,0.16,18252,16955,13957,1959
1/31/23,0.07,0.10,0.12,0.15,18326,17075,14082,1982
2/28/23,0.07,0.10,0.12,0.15,18396,17190,14204,2003
3/31/23,0.07,0.10,0.12,0.15,18457,17301,14320,2026
4/30/23,0.06,0.09,0.12,0.15,18513,17404,14435,2048
5/31/23,0.06,0.09,0.12,0.15,18568,17506,14548,2071
6/30/23,0.05,0.09,0.11,0.15,18620,17610,14659,2095
7/31/23,0.05,0.09,0.11,0.15,18672,17718,14771,2119
8/31/23,0.05,0.09,0.11,0.15,18722,17824,14879,2142
9/30/23,0.04,0.08,0.10,0.14,18770,17925,14986,2165
10/31/23,0.04,0.08,0.10,0.14,18815,18028,15094,2187
11/30/23,0.04,0.08,0.10,0.14,18865,18137,15202,2208
12/31/23,0.04,0.08,0.10,0.14,18916,18247,15310,2228
3/31/24,0.03,0.07,0.09,0.13,19039,18544,15605,2291
4/30/24,0.03,0.07,0.09,0.13,19072,18654,15699,2313
5/31/24,0.03,0.07,0.09,0.13,19098,18762,15791,2335
6/30/24,0.03,0.07,0.08,0.13,19117,18861,15875,2357
,,,,,,,,