Quarter,Acquisition,Public Listing,Buyout
Q12014,10.90,10.10,1.90
Q22014,9.80,13.40,1.00
Q32014,15.60,4.30,1.10
Q42014,29.50,16.30,1.00
Q12015,8.10,3.40,1.10
Q22015,6.70,12.10,0.70
Q32015,12.70,8.40,3.10
Q42015,12.20,7.40,2.30
Q12016,10.90,1.40,1.00
Q22016,12.10,4.90,1.90
Q32016,17.00,5.20,0.30
Q42016,8.40,1.90,0.80
Q12017,11.00,20.90,1.00
Q22017,6.70,9.00,4.10
Q32017,11.90,3.80,1.20
Q42017,9.50,18.90,6.60
Q12018,14.10,10.80,2.30
Q22018,11.00,25.10,1.00
Q32018,16.80,12.30,3.80
Q42018,18.40,16.40,3.50
Q12019,20.60,29.20,3.50
Q22019,17.70,109.20,1.60
Q32019,12.80,31.60,0.40
Q42019,14.90,8.40,1.60
Q12020,10.40,5.80,0.40
Q22020,12.60,23.10,2.40
Q32020,10.90,90.30,1.20
Q42020,42.20,91.00,7.30
Q12021,14.20,106.20,7.80
Q22021,23.50,151.30,9.90
Q32021,33.20,167.00,2.90
Q42021,28.50,164.20,2.00
Q12022,12.00,22.00,2.50
Q22022,12.10,13.70,0.80
Q32022,11.30,2.10,2.10
Q4 2022,5.00,3.20,1.60
Q12023,8.10,1.30,0.10
Q22023,2.80,3.50,0.50
Q32023,11.20,23.40,5.10
Q42023,6.20,1.10,1.90
Q12024,10.20,14.50,0.80
Q22024,9.20,13.90,0.50