Quarter,Under $25M,$25M-$50M,$50M-$100M,$100M-$500M,$500M+,Undisclosed
Q12014,36,13,13,41,10,166
Q22014,38,18,16,41,12,164
Q32014,25,14,15,48,8,177
Q42014,27,12,16,40,16,168
Q12015,32,18,16,26,5,205
Q22015,31,12,11,30,8,184
Q32015,24,13,12,38,15,181
Q42015,30,15,5,35,8,173
Q12016,25,9,6,33,7,229
Q22016,29,8,7,25,8,170
Q32016,23,8,14,39,11,165
Q42016,30,8,10,23,7,165
Q12017,26,18,9,13,10,230
Q22017,30,8,12,31,10,171
Q32017,22,9,12,29,7,181
Q42017,17,10,12,38,19,179
Q12018,35,12,15,37,5,270
Q22018,17,3,9,44,17,214
Q32018,36,7,16,41,19,181
Q42018,21,11,13,44,12,202
Q12019,19,12,18,44,11,233
Q22019,30,13,18,47,20,255
Q32019,28,7,20,35,15,213
Q42019,16,10,12,32,14,217
Q12020,30,12,9,21,8,244
Q22020,18,9,9,25,19,150
Q32020,15,7,15,36,30,188
Q42020,29,16,19,51,46,262
Q12021,42,12,18,39,37,315
Q22021,41,29,26,56,59,281
Q32021,29,22,31,65,69,288
Q42021,34,28,31,68,55,331
Q12022,28,16,14,35,20,324
Q22022,35,15,15,26,9,284
Q32022,23,15,5,25,7,233
Q4 2022,25,11,11,12,6,223
Q12023,25,4,10,17,4,254
Q22023,21,8,9,7,4,228
Q32023,20,8,5,15,15,205
Q42023,10,9,6,16,6,189
Q12024,8,5,4,15,11,218
Q22024,6,1,0,17,10,207
,,,,,,
,,,,,,